ten_chat,mo_ta,loi_ich,anh_huong_nguon,chong_chi_dinh,nen_su_dung_nhu_the_nao
Vitamin A,"Vitamin tan trong dầu gồm retinol và provitamin (beta-caroten). Cần cho thị lực, phân chia tế bào và miễn dịch.","Hỗ trợ thị lực, tăng miễn dịch, duy trì da niêm mạc.","Thiếu gây quáng gà; thừa (retinol) độc gan, gây dị tật thai; nguồn: gan, sữa, rau màu cam/đỏ.",Tránh liều cao khi đang mang thai; thận trọng với thuốc retinoid.,Bổ sung theo khuyến nghị; ưu tiên qua thực phẩm; dùng beta‑caroten cho bổ sung dài‑hạn.
Vitamin D,"Vitamin/hormone tan trong dầu điều hoà canxi-phốt pho, cần cho xương.","Hỗ trợ hấp thu canxi, phòng còi xương và loãng xương, hỗ trợ miễn dịch.","Thiếu giảm khoáng hoá xương; thừa gây tăng calci huyết; nguồn: ánh nắng, cá béo.",Thận trọng nếu rối loạn granulomatous (sarcoidosis) và tăng calci huyết.,Kiểm tra 25(OH)D trước khi bổ sung liều cao; dùng liều khuyến nghị.
Vitamin C,"Vitamin tan trong nước, chống oxy hoá và tham gia tổng hợp collagen.","Tăng hấp thu sắt, hỗ trợ miễn dịch, góp phần lành vết thương.","Dễ phân huỷ khi đun nấu; nguồn: trái cây họ cam quýt, ổi.",Thận trọng ở người có tiền sử sỏi oxalat; rất hiếm chống chỉ định.,"Tiêu thụ từ thực phẩm; bổ sung khi cần thiết, tránh liều rất cao."
Vitamin E,Chất chống oxy hoá tan trong dầu bảo vệ màng tế bào.,"Bảo vệ cấu trúc lipid, hỗ trợ miễn dịch.","Liều cao có thể tăng nguy cơ chảy máu; nguồn: dầu thực vật, hạt.",Không dùng liều cao cùng thuốc chống đông mà không theo dõi.,Dùng qua chế độ ăn; tránh viên uống liều lớn lâu dài nếu không có chỉ định.
Vitamin K,Cần cho tổng hợp yếu tố đông máu và chuyển hoá xương.,Hỗ trợ đông máu bình thường và sức khoẻ xương.,Tương tác với thuốc chống đông warfarin; nguồn: rau lá xanh.,Người dùng warfarin cần duy trì lượng ổn định; thận trọng trẻ sơ sinh.,Đảm bảo khẩu phần đều; bổ sung theo chỉ định bác sĩ.
Vitamin B1 (Thiamin),Coenzyme trong chuyển hoá carbohydrate và chức năng thần kinh.,"Hỗ trợ chuyển hoá năng lượng, chức năng thần kinh và tim.","Thiếu gây beriberi; nguồn: ngũ cốc nguyên cám, thịt lợn.",Ít chống chỉ định; rượu làm giảm hấp thu.,Bảo đảm đủ qua chế độ ăn; bổ sung cho người thiếu.
Vitamin B2 (Riboflavin),"Coenzyme trong phản ứng oxy hoá-khử, cần cho da và mắt.","Hỗ trợ chuyển hoá năng lượng và duy trì niêm mạc, mắt.","Nước tiểu đổi màu vàng khi thừa; nguồn: sữa, trứng, nội tạng.",An toàn ở liều khuyến nghị.,Bổ sung qua thực phẩm hoặc vitamin nhóm B nếu cần.
Vitamin B3 (Niacin),"Tiền chất của NAD/NADP, cần cho các phản ứng chuyển hoá.",Hỗ trợ chuyển hoá; liều dược lý giúp hạ lipid máu.,"Liều cao có thể gây flushing và độc gan; nguồn: thịt, cá, đậu.",Bệnh gan nặng; theo dõi men gan khi dùng liều điều trị.,Nên dùng theo chỉ định khi dùng liều dược lý; ưu tiên thực phẩm.
Vitamin B6 (Pyridoxine),Coenzyme trong chuyển hoá amino acid và tạo máu.,"Hỗ trợ chuyển hoá, giảm buồn nôn thai kỳ ở mức an toàn.","Liều cao kéo dài gây độc thần kinh ngoại biên; nguồn: thịt, cá, khoai tây.",Tránh liều cao kéo dài; thận trọng khi dùng thuốc tương tác.,Dùng theo liều khuyến nghị; kiểm tra nếu bổ sung lâu dài.
Folate (B9),Tham gia tổng hợp DNA và tạo hồng cầu.,Giảm nguy cơ dị tật ống thần kinh khi bổ sung cho phụ nữ trước khi mang thai.,"Liều cao có thể che lấp thiếu B12; nguồn: rau lá xanh, đậu.",Thận trọng nếu thiếu B12 chưa được chẩn đoán.,Phụ nữ chuẩn bị mang thai nên bổ sung 400–800 µg/ngày.
